,notes,train_acc,train_loss,val_acc,val_loss
0,,0.51,1.4310,0.56,1.7252
1,,0.56,1.2088,0.49,1.7971
2,,0.55,1.1595,0.50,1.4368
3,,0.64,1.0222,0.50,1.1563
4,,0.64,1.0031,0.36,2.7512
5,,0.65,0.9198,0.49,2.6057
6,,0.68,0.8425,0.44,1.2929
7,created new SGD optimizer with LR: 0.00100000000000000002,0.72,0.7009,0.41,1.9194
8,,0.74,0.7277,0.40,2.1138
9,,0.74,0.6499,0.65,1.0459
10,,0.85,0.4159,0.65,1.1518
11,,0.85,0.4206,0.70,0.9629
12,,0.88,0.3321,0.72,0.8780
13,,0.87,0.3542,0.71,0.7767
14,,0.90,0.2991,0.72,1.0041
15,created new SGD optimizer with LR: 0.0001,0.92,0.2583,0.75,0.8826
16,,0.93,0.2169,0.78,0.7511
17,,0.94,0.2000,0.80,0.6965
18,,0.90,0.3053,0.70,0.8933
19,,0.96,0.1827,0.79,0.6964
20,,0.93,0.2124,0.74,0.8548
21,,0.95,0.1883,0.62,1.0996
22,,0.95,0.1841,0.69,1.0899
23,created new SGD optimizer with LR: 0.00001,0.93,0.2295,0.79,0.6437
24,,0.97,0.1510,0.74,0.7548
25,,0.93,0.2376,0.74,0.8446
26,,0.97,0.1479,0.76,0.7075
27,,0.92,0.2212,0.62,1.4140
28,,0.95,0.1676,0.75,0.8213
29,,0.96,0.1596,0.70,0.8368
30,,0.94,0.2121,0.80,0.7150
31,created new SGD optimizer with LR: 0.000001,0.96,0.1711,0.75,0.7605
32,,0.96,0.1624,0.79,0.6916
33,,0.95,0.1722,0.84,0.5577
34,,0.95,0.1753,0.75,0.8604
35,,0.94,0.2100,0.76,0.5819
36,,0.96,0.1444,0.81,0.7535
37,,0.96,0.1695,0.78,0.7059
38,,0.93,0.2146,0.75,0.9369
39,created new SGD optimizer with LR: 0.0000001,0.95,0.1694,0.72,1.0954
40,,0.96,0.1614,0.78,0.7474
41,,0.92,0.2376,0.70,2.0841
42,,0.97,0.1536,0.76,0.6813
43,,0.94,0.2001,0.72,0.7246
44,,0.95,0.1653,0.81,0.6790
45,,0.95,0.1492,0.78,0.7674
46,,0.94,0.2005,0.65,1.0131
47,created new SGD optimizer with LR: 0.00000001,0.96,0.1550,0.75,0.7877
48,,0.96,0.1493,0.71,0.9330
49,,0.93,0.2073,0.75,0.6995
