,notes,train_acc,train_loss,val_acc,val_loss
0,,0.48,1.5372,0.47,1.6745
1,,0.49,1.3532,0.28,2.2167
2,,0.54,1.2571,0.29,4.3919
3,,0.59,1.1369,0.41,2.0199
4,,0.60,1.0813,0.53,1.4905
5,,0.67,0.9518,0.57,2.5109
6,,0.67,0.9077,0.35,1.7059
7,created new SGD optimizer with LR: 0.00100000000000000002,0.70,0.7635,0.51,1.9887
8,,0.74,0.7444,0.45,4.0817
9,,0.74,0.6641,0.66,1.1149
10,,0.77,0.5361,0.68,0.9510
11,,0.84,0.4424,0.66,1.7385
12,,0.87,0.3832,0.65,1.4277
13,,0.84,0.4249,0.71,0.9539
14,,0.87,0.3575,0.64,1.5009
15,created new SGD optimizer with LR: 0.0001,0.89,0.3262,0.70,1.1904
16,,0.88,0.3497,0.64,1.1603
17,,0.86,0.3340,0.70,1.8655
18,,0.89,0.2871,0.69,1.1659
19,,0.91,0.2731,0.79,0.7096
20,,0.93,0.2265,0.74,0.7706
21,,0.91,0.2536,0.74,0.8708
22,,0.94,0.2131,0.76,0.8386
23,created new SGD optimizer with LR: 0.00001,0.91,0.2381,0.74,1.0967
24,,0.92,0.2184,0.69,1.3636
25,,0.91,0.2495,0.75,1.0245
26,,0.93,0.2206,0.78,0.8672
27,,0.93,0.2281,0.60,1.8228
28,,0.91,0.2601,0.78,1.4846
29,,0.91,0.2730,0.76,0.7672
30,,0.95,0.1888,0.72,0.9001
31,created new SGD optimizer with LR: 0.000001,0.91,0.2506,0.64,4.2916
32,,0.91,0.2243,0.70,1.2417
33,,0.92,0.2217,0.68,0.9480
34,,0.94,0.2078,0.72,1.1274
35,,0.94,0.1968,0.76,0.8245
36,,0.93,0.2150,0.76,0.9654
37,,0.92,0.2933,0.71,0.9216
38,,0.92,0.2552,0.74,0.9312
39,created new SGD optimizer with LR: 0.0000001,0.90,0.2813,0.71,1.4269
40,,0.92,0.2576,0.74,1.0653
41,,0.93,0.2316,0.70,1.7518
42,,0.94,0.1943,0.71,1.1188
43,,0.95,0.1947,0.75,1.3602
44,,0.92,0.2202,0.76,1.0842
45,,0.91,0.2425,0.68,1.3283
46,,0.95,0.1886,0.65,1.0946
47,created new SGD optimizer with LR: 0.00000001,0.94,0.2074,0.74,1.4127
48,,0.91,0.2701,0.71,1.0639
49,,0.90,0.2697,0.74,1.1772
